Name,Longitude,Latitude
5002125,09.10882,48.70924
5002127,09.13604,48.70237
5002129,09.13193,48.70280
5002130,09.17745,48.68750
5002131,09.21515,48.74315
5002132,09.16270,48.69606
5002135,09.25191,48.63309
5002136,09.17317,48.66564
5002138,09.11902,48.69230
5002141,09.16035,48.69412
5002142,09.15017,48.68441
5002143,09.23717,48.67533
5002144,09.23082,48.66942
5002186,09.20543,48.73240
5002187,09.21144,48.77163
5002188,09.20817,48.77088
5002189,09.20425,48.77171
5002190,09.15119,48.78776
5002191,09.15511,48.78827
5002192,09.15976,48.79039
5002193,09.16038,48.78773
5002194,09.16047,48.78663
5002195,09.16621,48.78541
5002196,09.17080,48.78230
5002198,09.18061,48.76953
5002199,09.17858,48.76665
5002200,09.20361,48.77500
5002201,09.20656,48.77800
5002202,09.20793,48.78185
5002203,09.17449,48.78317
5002204,09.15990,48.77979
5002205,09.15580,48.77845
5002206,09.08285,48.75608
5002207,09.15955,48.76839
5002208,09.16085,48.76578
5002209,09.12662,48.75815
5002210,08.99426,48.70575
5002211,09.02684,48.70706
5002212,09.00869,48.72544
5002213,09.00046,48.72054
5002214,09.03872,48.70566
5002216,09.00676,48.72237
5002218,09.00339,48.71653
5002220,09.00418,48.72697
5002221,08.99536,48.71007
5002222,08.99280,48.69926
5002223,09.06175,48.71967
5002224,08.99722,48.71357
5002225,09.03254,48.70706
5002226,08.99121,48.69714
5002227,09.01002,48.70867
5002228,08.99088,48.69668
5002229,08.99250,48.69883
5002230,08.99558,48.70314
5002231,08.99584,48.70344
5002233,08.99600,48.70201
5002234,08.98527,48.69480
5002235,09.17136,48.79940
5002236,09.17323,48.80100
5002237,08.98408,48.69514
5002241,09.17541,48.79922
5002242,09.17549,48.79665
5002243,09.17433,48.79385
5002244,09.17099,48.79109
5002245,09.17410,48.78998
5002246,09.17588,48.78837
5002247,09.17750,48.78826
5002248,09.14532,48.77157
5002250,09.20839,48.81351
5002251,09.20994,48.81146
5002252,09.21076,48.80775
5002257,09.21499,48.81962
5002258,09.21254,48.81605
5002259,09.21300,48.81874
5002260,09.21281,48.82052
5002261,09.14715,48.76937
5002262,09.15162,48.76846
5002263,09.15290,48.76974
5002264,09.16633,48.77046
5002265,09.13979,48.77450
5002270,09.09437,48.82217
5002300,09.07572,48.80251
5002301,09.06203,48.79287
5002302,09.04993,48.78873
5002303,09.06666,48.79331
5002304,09.04385,48.79340
5002305,09.06982,48.75707
5002306,09.06383,48.79112
5002307,09.06354,48.80284
5002308,09.04500,48.79057
5002309,09.02216,48.79583
5002310,09.20303,48.77758
5002311,09.19981,48.77915
5002312,09.07300,48.78874
5002313,09.06388,48.78743
5002314,09.06601,48.78917
5002315,09.06415,48.79943
5002316,09.08385,48.78694
5002317,09.05218,48.76498
5002318,09.05608,48.78729
5002319,09.02127,48.79814
5002320,09.02122,48.80393
5002321,09.02740,48.80232
5002322,08.99399,48.80030
5002323,08.99627,48.79824
5002324,09.04048,48.76863
5002325,09.03072,48.79801
5002326,09.02145,48.78987
5002327,09.00237,48.80151
5002328,09.01093,48.79599
5002329,09.01146,48.80038
5002331,09.23492,48.78882
5002332,09.22059,48.79872
5002333,09.00370,48.79760
5002334,09.03530,48.77208
5002335,09.03256,48.77705
5002336,09.03613,48.78740
5002338,09.03379,48.79059
5002339,09.02354,48.78700
5002340,09.01309,48.78804
5002341,09.00710,48.79170
5002342,09.09008,48.77835
5002343,09.22088,48.79619
5002344,09.12465,48.76440
5002345,09.01429,48.79813
5002346,09.10503,48.82498
5002347,09.10345,48.82690
5002348,09.10853,48.82546
5002349,09.01791,48.79998
5002350,09.10752,48.82727
5002351,09.04140,48.79035
5002352,09.01651,48.80199
5002353,09.01759,48.79041
5002355,09.01575,48.80030
5002356,09.02420,48.79596
5002357,09.09811,48.82562
5002358,09.21693,48.79863
5002359,09.01710,48.78376
5002370,09.25616,48.84165
5002371,09.25823,48.84282
5002372,09.26438,48.84361
5002373,09.26333,48.84269
5002374,09.26266,48.83956
5002375,09.26181,48.83714
5002376,09.26317,48.83378
5002377,09.26474,48.83402
5002378,09.26401,48.83211
5002379,09.26018,48.83143
5002380,09.24201,48.81869
5002381,09.26489,48.84237
5002382,09.24510,48.82069
5002401,09.14642,48.78379
5002402,09.14780,48.77967
5002403,09.15149,48.77940
5002404,09.15363,48.78129
5002405,09.20377,48.78075
5002406,09.20063,48.78014
5002407,09.14817,48.78292
5002408,09.14215,48.78142
5002409,09.16891,48.76825
5002410,09.16929,48.77030
5002411,09.17513,48.76463
5002413,09.17781,48.76262
5002414,09.17098,48.76403
5002415,09.11658,48.76528
5002416,09.11090,48.76598
5002417,09.12293,48.77202
5002418,09.12594,48.77368
5002419,09.12892,48.77996
5002420,09.13094,48.78213
5002421,09.13318,48.78661
5002422,09.15401,48.80180
5002423,09.15192,48.79893
5002424,09.15537,48.80461
5002425,09.11522,48.76761
5002426,09.12957,48.77921
5002427,09.14718,48.79436
5002428,09.19061,48.81817
5002429,09.13179,48.78430
5002430,09.21423,48.74422
5002431,09.21748,48.74681
5002432,09.21997,48.74791
5002433,09.21963,48.74988
5002434,09.21815,48.74839
5002435,09.21535,48.74637
5002436,09.21846,48.75079
5002437,09.21551,48.75183
5002438,09.22092,48.75103
5002439,09.21735,48.75274
5002440,09.19872,48.71429
5002450,09.12004,48.76985
5002451,09.13627,48.76499
5002452,09.13817,48.77900
5002453,09.15480,48.79203
5002454,09.16401,48.79695
5002455,09.17698,48.80740
5002459,09.15549,48.85261
5002460,09.14399,48.83469
5002461,09.14746,48.83689
5002463,09.15593,48.83317
5002464,09.15872,48.83301
5002465,09.15306,48.82941
5002467,09.17282,48.82573
5002469,09.18841,48.81612
5002470,09.19127,48.81742
5002471,09.19732,48.82419
5002472,09.19142,48.82775
5002473,09.20424,48.81820
5002474,09.19678,48.82978
5002475,09.18655,48.81502
5002476,09.18773,48.81594
5002477,09.18334,48.82022
5002480,09.22169,48.84444
5002481,09.21514,48.84333
5002482,09.21807,48.84258
5002483,09.23326,48.83061
5002484,09.23654,48.83218
5002487,09.24147,48.81417
5002488,09.23654,48.81855
5002490,09.23165,48.82822
5002491,09.23208,48.82585
5002492,09.23669,48.81888
5002493,09.20376,48.81364
5002494,09.20008,48.81047
5002496,09.28070,48.81843
5002497,09.28311,48.81704
5002498,09.28202,48.81376
5002499,09.28243,48.80938
5002500,09.28320,48.80541
5002501,09.27371,48.81559
5002502,09.27935,48.80522
5002503,09.27468,48.80288
5002504,09.27191,48.80142
5002505,09.26419,48.79661
5002506,09.26080,48.79225
5002507,09.25524,48.78699
5002508,09.25276,48.77922
5002509,09.25496,48.78111
5002510,09.27065,48.78333
5002511,09.26761,48.78701
5002512,09.25478,48.78198
5002513,09.25940,48.78475
5002515,09.28075,48.80291
5002516,09.27993,48.80910
5002517,09.28036,48.80984
5002519,09.26289,48.77009
5002520,09.24678,48.75735
5002521,09.23710,48.75847
5002522,09.23164,48.75686
5002523,09.22195,48.75587
5002524,09.21729,48.75665
5002525,09.22615,48.75610
5002526,09.24180,48.75190
5002527,09.25513,48.77815
5002528,09.27308,48.78693
5002529,09.27054,48.76325
5002530,09.27915,48.77576
5002531,09.27743,48.77371
5002532,09.27409,48.77085
5002533,09.27119,48.76679
5002534,09.26080,48.76207
5002535,09.25241,48.75758
5002536,09.24280,48.75402
5002537,09.24057,48.74938
5002538,09.23759,48.74638
5002539,09.23192,48.74631
5002540,09.22586,48.76117
5002541,09.21955,48.76143
5002542,09.21490,48.76127
5002543,09.26838,48.76254
5002545,09.21153,48.72692
5002546,09.21441,48.73898
5002547,09.21313,48.73493
5002548,09.21027,48.73320
5002553,09.20561,48.70330
5002554,09.20483,48.70721
5002555,09.20942,48.71191
5002556,09.20607,48.71424
5002557,09.20802,48.71927
5002558,09.20764,48.72327
5002559,09.20244,48.72599
5002560,09.20496,48.72755
5002561,09.20882,48.72766
5002562,09.20749,48.73268
5002563,09.19991,48.74459
5002564,09.18836,48.75627
5002565,09.18130,48.75337
5002566,09.16980,48.74453
5002567,09.16962,48.74611
5002568,09.17649,48.73668
5002569,09.18162,48.73433
5002572,09.18584,48.72639
5002573,09.19241,48.72617
5002574,09.20486,48.72973
5002575,09.20265,48.73299
5002576,09.20358,48.72395
5002578,09.12595,48.74475
5002579,09.08355,48.74963
5002580,09.10540,48.73951
5002581,09.15206,48.71267
5002582,09.12289,48.72398
5002583,09.14687,48.72666
5002584,09.16026,48.71206
5002585,09.14631,48.72359
5002586,09.16759,48.71169
5002589,09.08427,48.74695
5002590,09.08031,48.74981
5002591,09.09279,48.73872
5002592,09.09746,48.73674
5002593,09.09765,48.73106
5002594,09.16370,48.74661
5002595,09.10932,48.73138
5002596,09.08371,48.75175
5002598,09.12060,48.77878
5002599,09.12071,48.72203
5002600,09.12723,48.72059
5002601,09.12906,48.72276
5002602,09.10733,48.73572
5002603,09.10382,48.74284
5002604,09.11336,48.74594
5002605,09.12100,48.74776
5002609,09.12092,48.74664
5002610,09.09703,48.71949
5002611,09.09773,48.71691
5002612,09.11199,48.71876
5002613,09.11785,48.71823
5002614,09.12219,48.71662
5002615,09.09147,48.72074
5002616,09.09186,48.71840
5002617,09.10150,48.82404
5002619,09.08213,48.81462
5002620,09.08610,48.81458
5002621,09.09702,48.81806
5002623,09.10643,48.81997
5002624,09.09655,48.82192
5002626,09.12632,48.82979
5002627,09.11984,48.82989
5002628,09.12434,48.82631
5002629,09.11619,48.81822
5002630,09.12109,48.82306
5002631,09.12131,48.82764
5002632,09.11668,48.82977
5002635,09.08642,48.81673
5002636,09.13428,48.83049
5002637,09.09008,48.81649
5002638,09.13055,48.84873
5002639,09.27749,48.81840
5002640,09.27288,48.81780
5002641,09.26357,48.81593
5002642,09.26289,48.81672
5002643,09.26031,48.81411
5002644,09.26913,48.80458
5002645,09.26879,48.80234
5002646,09.26966,48.81643
5002647,09.27007,48.81476
5002648,09.28510,48.80541
5002653,09.08608,48.80715
5002700,09.12980,48.72170
5002701,09.10759,48.73352
5002800,09.30891,48.73794
5002801,09.30105,48.73522
5002802,09.28610,48.72722
5002803,09.30026,48.72882
5002804,09.29309,48.73050
5002805,09.30207,48.72442
5002806,09.30540,48.73774
5002808,09.28958,48.65791
5002810,09.34007,48.60305
5002811,09.33727,48.60084
5002813,09.33434,48.62812
5002814,09.45975,48.64532
5002815,09.13183,48.62888
5002816,09.43111,48.71002
5002817,09.51594,48.61740
5002819,09.37053,48.58023
5002820,09.32694,48.55007
5002821,09.33761,48.55825
5002822,09.35722,48.59524
5002824,09.35962,48.59003
5002895,09.26414,48.68399
5002896,09.27838,48.67499
5002897,09.27492,48.68064
5002898,09.27817,48.68154
5002899,09.25195,48.70687
5002900,09.24909,48.70717
5002901,09.27786,48.68453
5002902,09.27853,48.67699
5002903,09.27882,48.68692
5002904,09.26881,48.68422
5002905,09.25429,48.68325
5002906,09.27852,48.68319
5002907,09.27567,48.67935
5002908,09.27950,48.68922
5002909,09.27364,48.68276
5002910,09.29932,48.71425
5002911,09.26843,48.72665
5002912,09.29446,48.71325
5002913,09.25309,48.74152
5002914,09.25425,48.72531
5002915,09.25865,48.70930
5002916,09.25422,48.70645
5002917,09.26355,48.70806
5002918,09.28581,48.65703
5002919,09.28807,48.65333
5002920,09.29254,48.65216
5002921,09.30114,48.64875
5002922,09.27518,48.69072
5002923,09.30810,48.64422
5002924,09.31880,48.63885
5002925,09.32523,48.63826
5002926,09.32661,48.63517
5002927,09.33215,48.62784
5002929,09.34464,48.61883
5002931,09.34271,48.62809
5002932,09.25278,48.72935
5002933,09.25417,48.73525
5002935,09.27241,48.72640
5002936,09.27814,48.72556
5002937,09.30064,48.71903
5002939,09.26771,48.69111
5002940,09.34379,48.60594
5002941,09.33776,48.63863
5002948,09.32687,48.64027
5002949,09.30544,48.64297
5002950,09.30120,48.64102
5002951,09.30376,48.63942
5002952,09.31304,48.63938
5002953,09.33502,48.62492
5002956,09.34935,48.62311
5002961,09.24414,48.62779
5002962,09.20239,48.62705
5002963,09.33533,48.61377
5002965,09.34169,48.60446
5002967,09.30063,48.71716
5002968,09.25388,48.73098
5002969,09.26224,48.72623
5002970,09.27176,48.72463
5002971,09.27223,48.72034
5002972,09.27325,48.71506
5002973,09.28987,48.71532
5002974,09.29607,48.71597
5002976,09.22110,48.70504
5002980,09.40771,48.56882
5002981,09.30089,48.71370
5002982,09.30040,48.71952
5002983,09.32883,48.61144
5002984,09.33784,48.62082
5002985,09.34602,48.62464
5002986,09.35657,48.62261
5002987,09.35862,48.62417
5002988,09.34204,48.62751
5002989,09.35099,48.62565
5003000,09.06307,48.82649
5003001,09.06893,48.83078
5003002,09.04231,48.83541
5003003,09.03909,48.83713
5003004,09.03552,48.83771
5003005,09.03081,48.84418
5003006,09.02939,48.84580
5003007,09.02828,48.84844
5003008,09.02755,48.84495
5003009,09.06591,48.82682
5003010,09.06996,48.82805
5003011,09.07246,48.83382
5003012,09.06964,48.83373
5003014,09.07415,48.83043
5003015,09.07670,48.82899
5003016,09.07741,48.82650
5003017,09.07773,48.82517
5003019,09.06527,48.83422
5003020,09.06470,48.83246
5003021,09.06536,48.83001
5003027,09.01672,48.69449
5003028,09.05788,48.82896
5003029,09.07144,48.83076
5003030,09.07493,48.82400
5003031,09.00772,48.84242
5003032,09.07857,48.81932
5003033,09.07224,48.82257
5003034,09.06331,48.82435
5003035,09.06095,48.81695
5003050,09.22628,48.72394
5003051,09.22526,48.72309
5003052,09.22382,48.72346
5003101,09.01286,48.68673
5003102,09.02855,48.69406
5003103,09.00540,48.68583
5003104,09.01541,48.68563
5003105,09.01010,48.68493
5003106,08.99731,48.68140
5003107,09.02371,48.69251
5003108,09.06090,48.62777
5003109,09.03741,48.68520
5003110,09.02003,48.69078
5003112,09.00903,48.68779
5003113,09.16076,48.68335
5003118,09.14802,48.63615
5003119,09.12994,48.63820
5003120,09.15408,48.63058
5003122,09.14034,48.63936
5003123,09.13919,48.64339
5003125,09.01469,48.68315
5003126,09.00812,48.68377
5003127,09.01975,48.67900
5003128,09.01106,48.67735
5003129,09.13374,48.63783
5003130,09.13876,48.64465
5003131,09.14299,48.65220
5003132,08.82243,48.55564
5003133,09.06964,48.66838
5003134,09.07032,48.66835
5003135,09.02733,48.69538
5003136,09.00362,48.66827
5003137,09.02116,48.67662
5003138,09.02038,48.68653
5003139,09.00503,48.66864
5003140,08.97326,48.67703
5003141,08.99667,48.68785
5003142,09.03420,48.68161
5003143,09.06018,48.62274
5003144,09.05979,48.62471
5003193,08.93458,48.76972
5003194,08.94292,48.77564
5003195,08.93195,48.76248
5003196,08.96527,48.73624
5003197,08.97934,48.72739
5003198,08.96972,48.72201
5003200,09.00017,48.70625
5003201,08.99934,48.70377
5003202,08.98466,48.70149
5003204,09.00796,48.69644
5003205,09.00767,48.70242
5003206,09.00859,48.69713
5003207,08.98499,48.72864
5003208,08.96383,48.71903
5003209,08.96484,48.72289
5003210,08.97327,48.72659
5003211,08.98890,48.73132
5003212,09.01979,48.69647
5003214,09.06530,48.67015
5003216,09.06137,48.65515
5003217,09.06496,48.65571
5003218,08.94509,48.65417
5003219,08.88808,48.57716
5003220,09.01377,48.63414
5003221,09.14854,48.63627
5003222,09.00937,48.64726
5003223,08.89313,48.57809
5003224,08.97873,48.68736
5003225,08.87214,48.59418
5003228,09.01293,48.64330
5003229,08.98669,48.70851
5003230,08.99816,48.70716
5003231,08.88365,48.57670
5003232,08.94837,48.69184
5003233,08.87612,48.59019
5003234,08.89234,48.58026
5003235,08.86140,48.59440
5003236,09.01430,48.69884
5003237,08.86089,48.59283
5003238,08.92995,48.65283
5003239,09.02197,48.71042
5003296,08.96586,48.74263
5003297,08.97528,48.74554
5003298,08.96248,48.74084
5003300,08.95685,48.74698
5003301,08.97665,48.73869
5003302,08.97037,48.74062
5003303,08.96394,48.74250
5003304,08.95416,48.74557
5003306,09.09023,48.90492
5003307,09.07389,48.90647
5003308,09.16917,48.74004
5003309,09.16908,48.73780
5003310,09.07739,48.91058
5003311,09.07879,48.90562
5003312,09.11275,48.90635
5003313,09.08592,48.90508
5003314,09.08410,48.90190
5003315,09.09351,48.89858
5003316,09.08759,48.90012
5003317,09.08397,48.90551
5003318,08.93623,48.76660
5003319,08.93643,48.76404
5003320,08.94094,48.77115
5003322,09.07023,48.87716
5003323,09.08158,48.88077
5003324,09.07987,48.88252
5003325,09.07048,48.90559
5003326,09.32624,48.72990
5003327,09.07537,48.87649
5003328,09.07915,48.87785
5003329,09.10683,48.90688
5003332,09.07698,48.87612
5003333,09.11886,48.95608
5003334,08.98968,48.85093
5003335,09.31209,49.00990
5003336,09.32312,49.00934
5003338,09.31771,49.02627
5003342,09.14237,48.94836
5003343,09.14717,48.94816
5003344,09.14781,48.95170
5003346,09.00010,49.01598
5003347,09.34097,49.03538
5003348,09.08342,48.87041
5003349,09.08392,48.88428
5003352,08.97150,48.95108
5003353,08.96667,48.95255
5003355,09.33520,49.01085
5003356,09.31762,49.03126
5003383,09.15283,48.94613
5003384,09.14863,48.94743
5003385,09.14628,48.94662
5003386,09.10218,48.94349
5003387,09.13313,48.94036
5003388,09.12400,48.93993
5003389,09.18455,48.94067
5003390,09.12383,48.95726
5003393,09.13038,48.94477
5003394,09.12831,48.93925
5003395,09.13729,48.94132
5003397,09.13408,48.94449
5003398,09.13788,48.94555
5003399,09.13610,48.94012
5003400,09.13302,48.89957
5003401,09.14664,48.95668
5003402,09.13062,48.90336
5003404,09.14759,48.89926
5003405,09.13005,48.90584
5003406,09.14032,48.90631
5003407,09.15162,48.90793
5003408,09.18831,48.89578
5003409,09.17642,48.90410
5003410,09.15339,48.89207
5003411,09.17186,48.89437
5003412,09.18731,48.90257
5003413,09.18689,48.85390
5003414,09.18239,48.85371
5003415,09.17889,48.89921
5003416,09.18380,48.89596
5003417,09.17193,48.91899
5003418,09.21990,48.90761
5003419,09.19157,48.89617
5003420,09.18722,48.88725
5003421,09.17350,48.90343
5003422,09.16985,48.90564
5003423,09.17255,48.90826
5003424,09.18844,48.85759
5003425,09.20305,48.90858
5003426,09.22259,48.90980
5003428,09.21887,48.91614
5003429,09.16005,48.88590
5003430,09.13900,48.86781
5003431,09.13426,48.89284
5003432,09.12597,48.88950
5003433,09.14238,48.88976
5003434,09.13961,48.88741
5003435,09.12921,48.88820
5003436,09.12944,48.89274
5003437,09.14014,48.89145
5003438,09.13498,48.89159
5003439,09.13104,48.88831
5003440,09.12144,48.88921
5003442,09.12865,48.88658
5003443,09.12178,48.88638
5003444,09.13489,48.88835
5003446,09.14590,48.92560
5003447,09.01885,48.99988
5003448,09.15042,48.92104
