?#DB-ID;Nummer;Name;Name mit Ort;Globale ID;GKZ;Ort;Teilort;Landkreis;Tarifzonen;Tarifnummer;Relationscode;Verkehrsmittel;Linien;Linien (EFA);Linien (DIVA);Anzahl Linien;Betriebszweige;X-Koordinate;Y-Koordinate;Umgebungskarte;Umgebungskarte (ME)
533;2471;Schnarrenberg;Schnarrenberg;de:8111:2471;8111000;Stuttgart;Stuttgart;S;20;20;521;"Nachtbus;Bus";52,N4;52,N4;30052_,33004_;2;30,33;2734804;5414571,604;;
534;2472;Im Raiser;Im Raiser;de:8111:2472;8111000;Stuttgart;Stuttgart;S;20;20;21;"Nachtbus;Bus";52,N4,N5;52,N4,N5;30052_,33004_,33005_;3;30,33;2734354,502;5414948,442;;
535;2473;Hallschlag;Hallschlag;de:8111:2473;8111000;Stuttgart;Stuttgart;S;20;20;20;"Nachtbus;Bus;Stadtbahn";U12,52,55,N4;U12,52,55,N4;20012_,30052_,30055_,33004_;4;20,30,33;2735340,181;5413926,788;;
536;2474;Rilke-Realschule;Rilke-Realschule;de:8111:2474;8111000;Stuttgart;Stuttgart;S;20;20;21;"Bus;Nachtbus";52,N5;52,N5;30052_,33005_;2;30,33;2734738,507;5415190,923;;
537;2475;Robert-Bosch-Krankenhaus;Robert-Bosch-Krankenhaus;de:8111:2475;8111000;Stuttgart;Stuttgart;S;20;20;521;Bus;57;57;30057_;1;30;2734056,394;5413518,627;;
538;2476;Albert-Luthuli-Platz;Albert-Luthuli-Platz;de:8111:2476;8111000;Stuttgart;Stuttgart;S;20;20;521;Bus;57;57;30057_;1;30;2734138,362;5413624,008;;
539;2477;Hebsacker Straße;Hebsacker Straße;de:8111:2477;8111000;Stuttgart;Stuttgart;S;20;20;21;Bus;52;52;30052_;1;30;2733796,621;5414087,218;;
540;2480;Aalstraße;Aalstraße;de:8111:2480;8111000;Stuttgart;Stuttgart;S;20;20;721;"Nachtbus;Bus";54,N5;54,N5;30054_,33005_;2;30,33;2736497,779;5416898,731;;
541;2481;Forellenweg;Forellenweg;de:8111:2481;8111000;Stuttgart;Stuttgart;S;20;20;721;"Bus;Nachtbus";54,N5;54,N5;30054_,33005_;2;30,33;2736022,757;5416754,802;uMoenchfeld.pdf;
542;2482;Steinbuttstraße;Steinbuttstraße;de:8111:2482;8111000;Stuttgart;Stuttgart;S;20;20;721;"Nachtbus;Bus";54,N5;54,N5;30054_,33005_;2;30,33;2736241,012;5416680,293;uMoenchfeld.pdf;
543;2483;Marabustraße;Marabustraße;de:8111:2483;8111000;Stuttgart;Stuttgart;S;20;20;820;"Nachtbus;Bus";54,N5;54,N5;30054_,33005_;2;30,33;2737412,307;5415396,565;;
544;2484;Neugereut;Neugereut;de:8111:2484;8111000;Stuttgart;Stuttgart;S;20;20;820;"Stadtbahn;Bus;Nachtbus";U2,54,N5;U2,54,N5;20002_,30054_,33005_;3;20,30,33;2737645,343;5415582,019;uNeuger.pdf;
547;2487;Edelweißweg;Edelweißweg;de:8111:2487;8111000;Stuttgart;Stuttgart;S;20;20;820;Bus;54,58;54,58;30054_,30058_;2;30;2738093,287;5413594,745;;
548;2488;Muckensturm;Muckensturm;de:8111:2488;8111000;Stuttgart;Stuttgart;S;20;20;820;"Nachtbus;Bus";54,N5;54,N5;30054_,33005_;2;30,33;2737710,148;5414066,346;uHfried.pdf;
550;2490;Steinhaldenfeld;Steinhaldenfeld;de:8111:2490;8111000;Stuttgart;Stuttgart;S;20;20;820;"Nachtbus;Stadtbahn;Bus";U2,54,N5;U2,54,N5;20002_,30054_,33005_;3;20,30,33;2737305,812;5415125,973;uSteinha.pdf;me_plaene\ME_Steinha.pdf
551;2491;Zuckerberg;Zuckerberg;de:8111:2491;8111000;Stuttgart;Stuttgart;S;20;20;820;"Nachtbus;Bus";54,N5;54,N5;30054_,33005_;2;30,33;2737348,224;5414863,258;;
552;2492;Hauptfriedhof;Hauptfriedhof;de:8111:2492;8111000;Stuttgart;Stuttgart;S;20;20;820;"Nachtbus;Bus;Stadtbahn";U2,54,N5;U2,54,N5;20002_,30054_,33005_;3;20,30,33;2737719,727;5414102,777;uHfried.pdf;me_plaene\ME_Hfried.pdf
553;2493;Riethmüllerhaus;Riethmüllerhaus;de:8111:2493;8111000;Stuttgart;Stuttgart;S;20;20;521;Stadtbahn;U12;U12;20012_;1;20;2735326,182;5413418,496;;
554;2494;Züricher Straße;Züricher Straße;de:8111:2494;8111000;Stuttgart;Stuttgart;S;20;20;521;Stadtbahn;U12;U12;20012_;1;20;2735071,17;5413053,922;;
555;2496;Friedrich-List-Straße;Fellbach Friedrich-List-Str.;de:8119:2496;8119020;Fellbach;Fellbach;WN;20,32;132;132;Bus;67;67;30067_;1;30;2740952,977;5414192,271;;
556;2497;Rems-Murr-Center;Fellbach Rems-Murr-Center;de:8119:2497;8119020;Fellbach;Fellbach;WN;20,32;132;132;Bus;67,207;67,207;30067_,31207_;2;30,31;2741137,04;5414045,303;;
557;2498;Zeppelinschule;Fellbach Zeppelinschule;de:8119:2498;8119020;Fellbach;Fellbach;WN;20,32;132;132;Bus;67,207;67,207;30067_,31207_;2;30,31;2741072,482;5413676,211;;
558;2499;Kleinfeldfriedhof;Fellbach Kleinfeldfriedhof;de:8119:2499;8119020;Fellbach;Fellbach;WN;20,32;132;132;Bus;67;67;30067_;1;30;2741123,689;5413190,506;;
559;2500;Drosselweg;Fellbach Drosselweg;de:8119:2500;8119020;Fellbach;Fellbach;WN;20,32;132;132;Bus;67;67;30067_;1;30;2741199,078;5412751,823;;
560;2501;Pauluskirche;Fellbach Pauluskirche;de:8119:2501;8119020;Fellbach;Fellbach;WN;20,32;132;132;"Nachtbus;Bus";60,N6;60,N6;30060_,33006_;2;30,33;2740453,557;5413854,097;;
561;2502;Kappelbergstraße;Fellbach Kappelbergstraße;de:8119:2502;8119020;Fellbach;Fellbach;WN;20,32;132;132;"Bus;Nachtbus";60,67,212,N6;60,67,212,N6;30060_,30067_,31212_,33006_;4;30,31,33;2740916,965;5412718,663;;
562;2503;Untertürkheimer Straße;Fellb. Untertürkheimer Straße;de:8119:2503;8119020;Fellbach;Fellbach;WN;20,32;132;132;"Bus;Nachtbus";60,N6;60,N6;30060_,33006_;2;30,33;2740585,282;5412444,193;;
563;2504;Alte Kelter;Fellbach Alte Kelter;de:8119:2504;8119020;Fellbach;Fellbach;WN;20,32;132;132;"Nachtbus;Bus";60,207,N6;60,207,N6;30060_,31207_,33006_;3;30,31,33;2740388,764;5412272,199;;
564;2505;Steigstraße;Fellbach Steigstraße;de:8119:2505;8119020;Fellbach;Fellbach;WN;20,32;132;132;"Bus;Nachtbus";60,N6;60,N6;30060_,33006_;2;30,33;2739844,942;5411713,957;;
565;2506;Luginsland;Luginsland;de:8111:2506;8111000;Stuttgart;Stuttgart;S;20;20;20;"Nachtbus;Bus";60,N6;60,N6;30060_,33006_;2;30,33;2739617,124;5411218,254;;
566;2507;Im Hag;Im Hag;de:8111:2507;8111000;Stuttgart;Stuttgart;S;20;20;20;"Nachtbus;Bus";60,N6;60,N6;30060_,33006_;2;30,33;2739233,26;5410616,25;;
567;2508;Alte Krone;Alte Krone;de:8111:2508;8111000;Stuttgart;Stuttgart;S;20;20;20;Bus;60,61;60,61;30060_,30061_;2;30;2739088,376;5409744,26;;
568;2509;Untertürkheim Kelterplatz;Untertürkheim Kelterplatz;de:8111:2509;8111000;Stuttgart;Stuttgart;S;20;20;20;"Ruftaxi;Nachtbus;Bus";60,61,N6,RT6;60,61,N6,RT6;30060_,30061_,33006_,53006_;4;30,33,53;2739241,046;5409961,591;;
569;2510;Rotenberg;Rotenberg;de:8111:2510;8111000;Stuttgart;Stuttgart;S;20;20;20;"Ruftaxi;Bus";61,RT6;61,RT6;30061_,53006_;2;30,53;2740383,065;5410257,99;;
570;2511;Aspen;Aspen;de:8111:2511;8111000;Stuttgart;Stuttgart;S;20;20;20;Bus;61;61;30061_;1;30;2740141,995;5410657,09;;
571;2512;Untertürkheim Alter Friedhof;Untertürkheim Alter Friedhof;de:8111:2512;8111000;Stuttgart;Stuttgart;S;20;20;20;Bus;60,61;60,61;30060_,30061_;2;30;2739223,262;5410057,032;;
572;2513;Untertürkheim Friedhof;Untertürkheim Friedhof;de:8111:2513;8111000;Stuttgart;Stuttgart;S;20;20;20;Bus;61;61;30061_;1;30;2739550,014;5410380,373;;
573;2515;Gartenstraße;Fellbach Gartenstraße;de:8119:2515;8119020;Fellbach;Fellbach;WN;20,32;132;132;Bus;67;67;30067_;1;30;2741031,093;5412465,782;;
574;2516;August-Brändle-Straße;Fellbach August-Brändle-Straße;de:8119:2516;8119020;Fellbach;Fellbach;WN;20,32;132;132;Bus;60,212;60,212;30060_,31212_;2;30,31;2740940,924;5413152,251;;
575;2517;Silcherweg;Fellbach Silcherweg;de:8119:2517;8119020;Fellbach;Fellbach;WN;20,32;132;132;Bus;67,207;67,207;30067_,31207_;2;30,31;2740969,688;5413235,507;;
576;2519;Haus am Weinberg;Haus am Weinberg;de:8111:2519;8111000;Stuttgart;Stuttgart;S;20,31;131;131;"Nachtbus;Bus";61,N7;61,N7;30061_,33007_;2;30,33;2739876,252;5408760,822;;
577;2520;Bächlenweg;Bächlenweg;de:8111:2520;8111000;Stuttgart;Stuttgart;S;20,31;131;131;Bus;62;62;30062_;1;30;2738752,348;5407293,422;;
578;2521;Dürrbachstraße;Dürrbachstraße;de:8111:2521;8111000;Stuttgart;Stuttgart;S;20;20;720;Bus;62;62;30062_;1;30;2738035,558;5407388,353;;
579;2522;Rohracker Kelter;Rohracker Kelter;de:8111:2522;8111000;Stuttgart;Stuttgart;S;20;20;720;Bus;62;62;30062_;1;30;2737641,724;5407191,565;;
580;2523;Tiefenbachschule;Tiefenbachschule;de:8111:2523;8111000;Stuttgart;Stuttgart;S;20;20;720;Bus;62;62;30062_;1;30;2736934,199;5407051,516;;
581;2524;Rohracker;Rohracker;de:8111:2524;8111000;Stuttgart;Stuttgart;S;20;20;720;"Bus;Ruftaxi";62,NT7;62,NT7;30062_,53007_;2;30,53;2736587,841;5407123,992;;
582;2525;Luikenweg;Luikenweg;de:8111:2525;8111000;Stuttgart;Stuttgart;S;20;20;720;Bus;62;62;30062_;1;30;2737242,108;5407090,691;;
583;2526;Schildfarnweg;Schildfarnweg;de:8111:2526;8111000;Stuttgart;Stuttgart;S;20,3;130;430;"Nachtbus;Bus";65,N7;65,N7;30065_,33007_;2;30,33;2738412,297;5406672,126;;
584;2527;Mönchweg;Mönchweg;de:8111:2527;8111000;Stuttgart;Stuttgart;S;20;20;20;"Bus;Nachtbus";60,61,N6;60,61,N6;30060_,30061_,33006_;3;30,33;2739267,054;5409632,129;;
585;2528;Sonnenbühl;Sonnenbühl;de:8111:2528;8111000;Stuttgart;Stuttgart;S;20;20;20;Bus;61;61;30061_;1;30;2740544,282;5410664,94;;
